Food_ID,Food_Name,C_type,Veg_Non,Calories,Protein,Carbs,Fat,sugar,sodium,cholesterol,potassium,saturated_fat
366,Korean fried Chicken,Korean,non-veg,320,28,20,18,5,900,80,250,10
367,Prawn kastu Curry,Japanese,non-veg,300,25,20,15,8,750,75,300,10
368,Beef Bibimbab,Korean,non-veg,350,30,35,20,8,750,120,300,10
369,Sweet and Sour Chicken Fried Rice,Chinese,non-veg,320,25,35,18,15,750,80,250,8
370,Sea Food Soup,Chinese,non-veg,200,15,15,10,5,600,75,250,5
371,Pad Thai,Thai,non-veg,280,15,40,12,15,900,20,250,5
372,Spicy Kimchi Tofu Stew,Korean,veg,200,12,28,10,5,900,0,350,2
373,Slow-Roasted Pork ,Korean,non-veg,350,28,25,20,5,450,120,300,15
374,Pico de Gallo Verde,Mexican,veg,80,1,15,0,3,150,0,150,1
375,Pineapple-Coconut Rice,Thai,veg,250,5,38,10,10,200,0,150,3
376,Lamb and Green Squash Dumplings,Chinese,non-veg,320,28,25,15,5,450,110,250,8
377,Crispy Tofu Balls,Japanese,veg,200,12,20,8,3,200,0,150,3
378,Grilled Chicken with Almond and Garlic Sauce,Healthy Food,non-veg,300,28,20,15,5,450,80,300,8
379,Parmesan Cauliflower and Parsley Salad,Italian,veg,180,6,15,8,5,300,20,200,3
380,Vietnamese Chicken Salad,Vietnames,non-veg,220,20,15,10,5,200,80,200,2
381,Eggplant and Beef Stir-Fry,Thai,non-veg,280,25,20,15,5,600,120,300,10
382,Stir-Fried Lettuces With Crispy Shallots,Chinese,non-veg,150,3,15,5,3,200,0,150,2
383,Chicken and Dumplings,Chinese,non-veg,300,28,25,15,5,450,80,250,8
384,Asian Salmon Bowl with Lime Drizzle,Thai,non-veg,320,28,20,15,5,450,75,300,5
385,Pasta with Garlic-Scape Pesto,Italian,veg,280,10,35,12,3,450,10,200,5
386,Pico de Gallo,Mexican,veg,80,1,15,0,3,150,0,150,1
387,Basmati Rice with Summer Vegetable Salad,Indian,veg,220,6,8,35,3,150,0,200,1
388,Fresh Corn Tortillas,Mexican,veg,150,3,30,3,1,100,0,50,0.5
389,Quinoa Tabbouleh,Healthy Food,veg,180,6,28,5,3,100,0,200,1
390,Grilled Clams With Herb Butter,French,non-veg,250,25,10,12,3,300,50,200,5
391,Rajas Poblanas,Mexican,veg,220,6,28,12,5,200,10,200,3
392,Braised Beef Short Ribs,Korean,non-veg,350,28,25,20,5,600,120,300,15
393,Fig and Sesame Tart with Cardamom Orange Cream,Dessert,non-veg,220,5,30,12,25,100,30,150,8
394,Rouille,French,veg,150,4,12,10,3,300,20,100,5
395,Kimchi Toast,Korean,veg,200,6,28,10,5,450,20,200,3
397,Melted Broccoli Pasta With Capers and Anchovies,French,non-veg,280,10,35,12,5,600,20,250,5
398,Lemon-Ginger Cake with Pistachios,Dessert,non-veg,220,4,30,10,25,150,40,150,10
399,Rosemary Roasted Vegetables,Healthy Food,veg,150,3,20,5,5,150,0,300,2
